,OFS,Commune,District,Population,Area,Density,Latitude,Longitude
284,5732,Vich,Nyon,1039,1.56,666,46.4299571,6.2489686
285,5935,Villars-Épeney,Jura-Nord vaudois,100,0.86,116,46.7817278,6.6969935
286,5690,Villars-le-Comte,Broye-Vully,132,4.19,32,46.7106452,6.7990287
287,5537,Villars-le-Terroir,Gros-de-Vaud,1213,7.09,171,46.6569364,6.6387429
288,5651,Villars-Sainte-Croix,Ouest lausannois,963,1.65,584,46.5675877,6.5616074
289,5652,Villars-sous-Yens,Morges,608,3.04,200,46.5102444,6.4286538
290,5830,Villarzel,Broye-Vully,446,7.66,58,46.7478499,6.9118617
291,5414,Villeneuve,Aigle,5771,32.04,180,45.0835468,-0.6280356
292,5863,Vinzel,Nyon,358,1.09,328,46.4476073,6.2793859
293,5539,Vuarrens,Gros-de-Vaud,1001,8.96,112,46.6863257,6.6475677
294,5692,Vucherens,Broye-Vully,577,3.27,176,46.624684,6.7769649
295,5503,Vufflens-la-Ville,Gros-de-Vaud,1298,5.38,241,46.5783726,6.5386727
296,5937,Vugelles-La Mothe,Jura-Nord vaudois,132,3.07,43,46.825427000000005,6.576060643654245
297,5766,Vuiteboeuf,Jura-Nord vaudois,584,5.06,115,46.807388,6.5493754
298,5803,Vulliens,Broye-Vully,595,6.63,90,46.6212858,6.7927903
299,5654,Vullierens,Morges,507,6.84,74,46.5730401,6.4816261
300,5464,Vully-les-Lacs,Broye-Vully,3163,22.13,143,46.9202735,7.010145078035545
301,5655,Yens,Morges,1429,9.51,150,46.518837,6.4180806
302,5938,Yverdon-les-Bains,Jura-Nord vaudois,30211,11.28,2678,46.7785711,6.6409158
303,5939,Yvonand,Jura-Nord vaudois,3426,13.39,256,46.7983158,6.7445021
304,5415,Yvorne,Aigle,1066,12.2,87,46.3317116,6.9586852
